,mm,mu,pm
ACTB_10_mc,75,26,31
ACTB_11_mc,7,24,1
ACTB_1_mc,25,16,1
ACTB_2_mc,27,22,0
ACTB_3_mc,183,95,19
ACTB_5_mc,42,17,43
ACTB_6_mc,68,10,18
ACTB_7_mc,21,5,3
ACTB_8_mc,127,108,18
ACTB_9_mc,110,30,11
ALX4_1_mc,2,28,29
ALX4_2_mc,4,17,0
ALX4_3_mc,1,11,8
ALX4_4_mc,5,12,9
B4GALT1_1_mc,5,27,20
B4GALT1_2_mc,1,1,0
B4GALT1_3_mc,11,0,1
BNC1_1_mc,4,1,16
BNC1_4_mc,0,3,9
BNC1_5_mc,3,1,15
BNC1_6_mc,1,0,2
BNC1_7_mc,1,4,20
CDH13_1_mc,10,4,1
CDH13_2_mc,3,6,8
CDH13_3_mc,0,0,36
CDH1_1_mc,95,20,0
CDH1_2_mc,0,35,2
CDH1_3_mc,9,6,3
CDKN2A_1_mc,5,5,7
CDKN2A_2_mc,2,7,14
CDKN2A_3_mc,5,10,21
CDKN2A_4_mc,0,5,14
CDKN2B_1_mc,0,0,6
CDKN2B_2_mc,3,20,11
CDKN2B_3_mc,0,0,3
CDKN2B_4_mc,0,5,4
CXCL12_1_mc,0,1,11
CXCL12_2_mc,7,8,11
CXCL12_3_mc,0,16,2
DAPK1_1_mc,1,15,25
DAPK1_2_mc,0,3,8
DAPK1_3_mc,2,1,4
ESR1_2_mc,0,8,10
ESR1_3_mc,0,1,0
ESR1_4_mc,0,0,3
ESR1_5_mc,6,2,1
GATA4_1_mc,0,4,3
GATA4_2_mc,6,22,33
GATA4_3_mc,0,0,39
GATA4_4_mc,5,20,13
GATA5_2_mc,1,26,23
GATA5_3_mc,60,10,9
GATA5_4_mc,0,3,6
GATA5_5_mc,0,6,9
GSTP1_1_mc,2,5,0
GSTP1_2_mc,5,66,8
GSTP1_3_mc,0,52,10
HIC1_2_mc,1,13,10
HIC1_3_mc,1,4,16
HIC1_4_mc,6,13,19
HIC1_5_mc,0,1,4
HIC1_6_mc,0,5,74
HIC1_8_mc,1,14,18
MAL_1_mc,0,33,23
MAL_2_mc,0,1,9
MAL_3_mc,2,7,6
MAL_4_mc,2,17,1
MGMT_2_mc,0,1,13
MGMT_3_mc,0,2,12
MGMT_4_mc,27,22,10
MLH1_1_mc,3,3,3
MLH1_2_mc,1,2,1
MLH1_3_mc,1,20,12
MSX1_1_mc,0,6,23
MSX1_2_mc,0,1,3
MSX1_3_mc,0,0,0
NTRK2_1_mc,0,5,17
NTRK2_2_mc,0,0,9
NTRK2_3_mc,0,1,1
NTRK2_4_mc,0,1,3
OSMR_1_mc,1,7,16
OSMR_2_mc,6,14,2
OSMR_3_mc,61,15,0
PAPSS2_1_mc,7,26,92
PAPSS2_2_mc,0,1,11
PYCARD_1_mc,0,1,0
PYCARD_2_mc,9,28,9
PYCARD_3_mc,0,3,10
RASSF1_1_mc,8,18,32
RASSF1_2_mc,2,5,5
RASSF1_3_mc,66,16,7
RASSF1_4_mc,1,4,11
RASSF1_5_mc,1,6,8
RUNX3_4_mc,2,3,39
RUNX3_5_mc,8,17,6
RUNX3_6_mc,10,2,9
RUNX3_7_mc,1,4,2
RUNX3_8_mc,0,2,3
RUNX3_9_mc,2,12,5
SFRP4_1_mc,3,23,18
SFRP4_2_mc,2,2,30
SFRP4_3_mc,0,16,36
TLE1_3_mc,15,36,10
TLE1_4_mc,0,0,5
TLE1_5_mc,6,1,1
TLE1_6_mc,10,41,14
TP73_4_mc,6,0,7
TP73_5_mc,0,0,13
TP73_6_mc,21,3,17
TUBG2_1_mc,3,1,14
