Abbr Primary_Site
NBL Nervous_System
BRCA Breast
AML Blood
WT Kidney
GBM Brain
OV Ovary
LUAD Lung
UCEC Uterus
KIRC Kidney
HNSC Head_and_Neck
LGG Brain
THCA Thyroid
LUSC Lung
PRAD Prostate
SKCM Skin
COAD Colorectal
STAD Stomach
BLCA Bladder
OS Bone
LIHC Liver
CESC Cervix
KIRP Kidney
SARC Soft_Tissue
LAML Bone_Marrow
PAAD Pancreas
ESCA Esophagus
PCPG Adrenal_Gland
READ Colorectal
TGCT Testis
THYM Thymus
KICH Kidney
ACC Adrenal_Gland
MESO Pleura
UVM Eye
RT Kidney
DLBC Lymph_Nodes
UCS Uterus
CHOL Bile_Duct
CCSK Kidney
