GENE,tissue_count,plasma_count,gene_in_gtf,gene_in_tcga
DAPK1,17,12,TRUE,FALSE
APC,17,11,TRUE,TRUE
CDH1,17,10,TRUE,FALSE
CDKN2A,10,9,TRUE,FALSE
MGMT,16,8,TRUE,FALSE
RARB,12,8,TRUE,FALSE
GSTP1,14,7,TRUE,FALSE
RUNX3,13,6,TRUE,FALSE
TFPI2,10,6,TRUE,TRUE
CCND2,9,5,TRUE,FALSE
TIMP3,18,4,TRUE,FALSE
SFRP1,17,3,TRUE,FALSE
CDH13,15,3,TRUE,TRUE
ESR1,12,3,TRUE,FALSE
SOCS1,10,3,TRUE,FALSE
PYCARD,9,3,TRUE,FALSE
CALCA,8,3,TRUE,TRUE
HIC1,8,3,TRUE,FALSE
UCHL1,8,3,TRUE,FALSE
PTGS2,7,3,TRUE,FALSE
BRCA1,4,3,TRUE,TRUE
SFRP2,13,2,TRUE,FALSE
FHIT,12,2,TRUE,FALSE
MLH1,12,2,TRUE,FALSE
WIF1,9,2,TRUE,FALSE
SLIT2,7,2,TRUE,FALSE
SOX17,7,2,TRUE,TRUE
TMEFF2,7,2,TRUE,FALSE
RB1,6,2,TRUE,FALSE
VIM,5,2,TRUE,FALSE
DLEC1,3,2,TRUE,FALSE
PGR,3,2,TRUE,FALSE
SFN,3,2,TRUE,TRUE
SHOX2,3,2,TRUE,TRUE
ALX4,2,2,TRUE,FALSE
KIF1A,2,2,TRUE,FALSE
PENK,2,2,TRUE,FALSE
TAC1,2,2,TRUE,FALSE
NEUROG1,1,2,TRUE,FALSE
BMP3,NA,2,TRUE,FALSE
PTEN,13,1,TRUE,FALSE
CHFR,10,1,TRUE,FALSE
VHL,9,1,TRUE,TRUE
CCNA1,7,1,TRUE,TRUE
HOXA9,7,1,TRUE,TRUE
RPRM,7,1,TRUE,FALSE
ATM,6,1,TRUE,FALSE
DCC,6,1,TRUE,TRUE
MYOD1,6,1,TRUE,FALSE
KLK10,4,1,TRUE,FALSE
AIM1,3,1,TRUE,FALSE
CST6,3,1,TRUE,FALSE
HLTF,3,1,TRUE,FALSE
HOXA10,3,1,TRUE,TRUE
NPY,3,1,TRUE,TRUE
OPCML,3,1,TRUE,TRUE
AR,2,1,TRUE,FALSE
BNC1,2,1,TRUE,FALSE
CDH11,2,1,TRUE,FALSE
CDO1,2,1,TRUE,TRUE
CMTM3,2,1,TRUE,FALSE
DOK1,2,1,TRUE,FALSE
FGF5,2,1,TRUE,FALSE
GATA5,2,1,TRUE,FALSE
HOXA7,2,1,TRUE,FALSE
MSH2,2,1,TRUE,FALSE
NPTX2,2,1,TRUE,FALSE
PAX5,2,1,TRUE,FALSE
SOCS2,2,1,TRUE,FALSE
SPG20,2,1,TRUE,FALSE
SST,2,1,TRUE,FALSE
XAF1,2,1,TRUE,FALSE
ADAM23,1,1,TRUE,FALSE
ADAMTS1,1,1,TRUE,FALSE
APBA2,1,1,TRUE,FALSE
AR,1,1,TRUE,FALSE
BCAT1,1,1,TRUE,FALSE
BIN1,1,1,TRUE,FALSE
BRD7,1,1,TRUE,FALSE
CDH4,1,1,TRUE,TRUE
DACH1,1,1,TRUE,FALSE
DCLK1,1,1,TRUE,FALSE
DLX5,1,1,TRUE,FALSE
EFEMP1,1,1,TRUE,FALSE
EMX1,1,1,TRUE,FALSE
FOXF1,1,1,TRUE,FALSE
FOXI2,1,1,TRUE,TRUE
GPC3,1,1,TRUE,FALSE
GRASP,1,1,TRUE,FALSE
IGFBP7,1,1,TRUE,FALSE
IKZF1,1,1,TRUE,FALSE
IRF4,1,1,TRUE,FALSE
MLF1,1,1,TRUE,FALSE
MUC2,1,1,TRUE,FALSE
NDRG4,1,1,TRUE,FALSE
NGFR,1,1,TRUE,FALSE
PLAU,1,1,TRUE,FALSE
PRDM5,1,1,TRUE,FALSE
RASGRF1,1,1,TRUE,FALSE
SDC2,1,1,TRUE,FALSE
THY1,1,1,TRUE,FALSE
VGF,1,1,TRUE,FALSE
BARX1,NA,1,TRUE,FALSE
BMP6,NA,1,TRUE,FALSE
C9orf50,NA,1,TRUE,FALSE
CAHM,NA,1,TRUE,FALSE
COL4A2,NA,1,TRUE,FALSE
CPXM1,NA,1,TRUE,FALSE
DBX2,NA,1,TRUE,FALSE
FBN2,NA,1,TRUE,FALSE
FKBP4,NA,1,TRUE,FALSE
GDNF,NA,1,TRUE,FALSE
HOXD13,NA,1,TRUE,TRUE
LSAMP,NA,1,TRUE,FALSE
NISCH,NA,1,TRUE,FALSE
OGDHL,NA,1,TRUE,FALSE
PCDHGB7,NA,1,TRUE,FALSE
PKM2,NA,1,TRUE,FALSE
PRKCDBP,NA,1,TRUE,FALSE
RORA,NA,1,TRUE,FALSE
SLC19A3,NA,1,TRUE,FALSE
SMAD4,NA,1,TRUE,FALSE
THBD,NA,1,TRUE,FALSE
TIMP1,NA,1,TRUE,FALSE
XPO4,NA,1,TRUE,FALSE
ZFP42,NA,1,TRUE,FALSE
ZNF781,NA,1,TRUE,FALSE
THBS1,12,NA,TRUE,FALSE
SFRP5,11,NA,TRUE,FALSE
CASP8,9,NA,TRUE,FALSE
DKK3,8,NA,TRUE,FALSE
SOCS3,8,NA,TRUE,FALSE
TWIST1,8,NA,TRUE,FALSE
SFRP4,7,NA,TRUE,FALSE
DLC1,6,NA,TRUE,FALSE
HS3ST2,6,NA,TRUE,FALSE
MT1G,6,NA,TRUE,FALSE
PCDH10,6,NA,TRUE,FALSE
SOX1,6,NA,TRUE,TRUE
SPARC,6,NA,TRUE,FALSE
WT1,6,NA,TRUE,TRUE
EDNRB,5,NA,TRUE,TRUE
EPB41L3,5,NA,TRUE,FALSE
IGFBP3,5,NA,TRUE,FALSE
TP73,5,NA,TRUE,FALSE
DKK1,4,NA,TRUE,FALSE
ESR2,4,NA,TRUE,FALSE
GATA4,4,NA,TRUE,FALSE
HOXA11,4,NA,TRUE,TRUE
IRF8,4,NA,TRUE,TRUE
RASSF2,4,NA,TRUE,FALSE
SEMA3B,4,NA,TRUE,FALSE
SYK,4,NA,TRUE,FALSE
TCF21,4,NA,TRUE,FALSE
TERT,4,NA,TRUE,TRUE
TNFRSF10C,4,NA,TRUE,FALSE
APAF1,3,NA,TRUE,FALSE
BCL2,3,NA,TRUE,FALSE
BNIP3,3,NA,TRUE,FALSE
CACNA1G,3,NA,TRUE,FALSE
CADM1,3,NA,TRUE,FALSE
CD44,3,NA,TRUE,FALSE
CRABP1,3,NA,TRUE,FALSE
DAB2IP,3,NA,TRUE,FALSE
EYA4,3,NA,TRUE,FALSE
FANCF,3,NA,TRUE,FALSE
FLNC,3,NA,TRUE,FALSE
GPX3,3,NA,TRUE,FALSE
GSTM2,3,NA,TRUE,FALSE
HOXA5,3,NA,TRUE,TRUE
HOXB13,3,NA,TRUE,TRUE
ID4,3,NA,TRUE,FALSE
ITGA4,3,NA,TRUE,FALSE
LOX,3,NA,TRUE,FALSE
MAL,3,NA,TRUE,FALSE
PAX6,3,NA,TRUE,TRUE
PCDH17,3,NA,TRUE,FALSE
PDLIM4,3,NA,TRUE,FALSE
PEG3,3,NA,TRUE,TRUE
RASSF10,3,NA,TRUE,FALSE
RASSF5,3,NA,TRUE,FALSE
SCGB3A1,3,NA,TRUE,FALSE
SLC5A8,3,NA,TRUE,FALSE
SOX9,3,NA,TRUE,FALSE
SPINT2,3,NA,TRUE,FALSE
UNC5C,3,NA,TRUE,FALSE
ZIC1,3,NA,TRUE,FALSE
ZNF154,3,NA,TRUE,FALSE
ADCYAP1,2,NA,TRUE,TRUE
ASS1,2,NA,TRUE,FALSE
BMP4,2,NA,TRUE,FALSE
BRCA2,2,NA,TRUE,FALSE
BTG3,2,NA,TRUE,FALSE
BTG4,2,NA,TRUE,FALSE
CACNA2D3,2,NA,TRUE,FALSE
CAV1,2,NA,TRUE,FALSE
CFTR,2,NA,TRUE,FALSE
CNRIP1,2,NA,TRUE,FALSE
COL14A1,2,NA,TRUE,FALSE
COL1A2,2,NA,TRUE,FALSE
CYP1B1,2,NA,TRUE,FALSE
DAB2,2,NA,TRUE,FALSE
DUSP6,2,NA,TRUE,FALSE
EPHA5,2,NA,TRUE,FALSE
EPHA7,2,NA,TRUE,FALSE
FBLN2,2,NA,TRUE,FALSE
FBXO32,2,NA,TRUE,FALSE
FLT3,2,NA,TRUE,FALSE
GADD45G,2,NA,TRUE,FALSE
GALR1,2,NA,TRUE,TRUE
GAS7,2,NA,TRUE,FALSE
GDF15,2,NA,TRUE,FALSE
GPX7,2,NA,TRUE,FALSE
GREM1,2,NA,TRUE,FALSE
HOPX,2,NA,TRUE,FALSE
HOTAIR,2,NA,TRUE,TRUE
HOXD11,2,NA,TRUE,FALSE
HOXD9,2,NA,TRUE,FALSE
HSPA2,2,NA,TRUE,FALSE
IGF2,2,NA,TRUE,TRUE
IGFBP1,2,NA,TRUE,FALSE
INA,2,NA,TRUE,FALSE
IRAK3,2,NA,TRUE,FALSE
KISS1,2,NA,TRUE,FALSE
KL,2,NA,TRUE,FALSE
KLF4,2,NA,TRUE,FALSE
LAMA3,2,NA,TRUE,FALSE
LAMC2,2,NA,TRUE,FALSE
LMX1A,2,NA,TRUE,FALSE
MCAM,2,NA,TRUE,FALSE
MTSS1,2,NA,TRUE,FALSE
NDRG2,2,NA,TRUE,FALSE
NEFH,2,NA,TRUE,FALSE
NKD1,2,NA,TRUE,FALSE
NKX6-2,2,NA,TRUE,TRUE
NPR1,2,NA,TRUE,FALSE
NPR2,2,NA,TRUE,FALSE
NSD1,2,NA,TRUE,FALSE
NTRK3,2,NA,TRUE,FALSE
OSR1,2,NA,TRUE,FALSE
PAX1,2,NA,TRUE,FALSE
PCDH8,2,NA,TRUE,FALSE
PCDHGB6,2,NA,TRUE,FALSE
PITX2,2,NA,TRUE,FALSE
POU4F2,2,NA,TRUE,TRUE
PRDM2,2,NA,TRUE,FALSE
RAP1GAP,2,NA,TRUE,FALSE
RARRES1,2,NA,TRUE,FALSE
RBP1,2,NA,TRUE,FALSE
RECK,2,NA,TRUE,FALSE
RELN,2,NA,TRUE,FALSE
ROBO1,2,NA,TRUE,FALSE
RRAD,2,NA,TRUE,FALSE
TES,2,NA,TRUE,FALSE
TFF1,2,NA,TRUE,FALSE
THRA,2,NA,TRUE,FALSE
TLX3,2,NA,TRUE,TRUE
TNFRSF10D,2,NA,TRUE,FALSE
TP53,2,NA,TRUE,FALSE
VAV1,2,NA,TRUE,FALSE
ZMYND10,2,NA,TRUE,FALSE
ZNF331,2,NA,TRUE,FALSE
ZSCAN18,2,NA,TRUE,FALSE
ABCC6,1,NA,TRUE,FALSE
ACADL,1,NA,TRUE,FALSE
ADAMTS12,1,NA,TRUE,FALSE
ADAMTS5,1,NA,TRUE,FALSE
ADAMTS8,1,NA,TRUE,FALSE
ADAMTS9,1,NA,TRUE,FALSE
